"YEAR","Seas","Flt","Gender","Part","Ageerr","Lbin_lo","Lbin_hi","NUMTOWS","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"1978","1","MOBILEGOFM","0","0","1","11","11","68","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1966","2","FIXEDGOFM","0","0","1","11","11","160","64","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1977","2","FIXEDGOFM","0","0","1","11","11","196","61","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1976","2","FIXEDGOFM","0","0","1","11","11","173","37","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1982","2","FIXEDGOFM","0","0","1","11","11","121","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1981","2","FIXEDGOFM","0","0","1","11","11","306","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1993","2","FIXEDGOFM","0","0","1","11","11","19","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1974","2","FIXEDGOFM","0","0","1","11","11","127","28","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1964","2","FIXEDGOFM","0","0","1","11","11","255","300","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1983","2","FIXEDGOFM","0","0","1","11","11","43","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1984","2","FIXEDGOFM","0","0","1","11","11","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1969","2","FIXEDGOFM","0","0","1","11","11","213","10","12","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1970","2","FIXEDGOFM","0","0","1","11","11","72","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1985","2","FIXEDGOFM","0","0","1","11","11","35","29","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1986","2","FIXEDGOFM","0","0","1","11","11","12","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1975","2","FIXEDGOFM","0","0","1","11","11","122","18","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1965","2","FIXEDGOFM","0","0","1","11","11","243","120","57","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1989","2","FIXEDGOFM","0","0","1","11","11","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1967","2","FIXEDGOFM","0","0","1","11","11","206","48","124","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1987","2","FIXEDGOFM","0","0","1","11","11","17","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1971","2","FIXEDGOFM","0","0","1","11","11","83","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1972","2","FIXEDGOFM","0","0","1","11","11","93","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1968","2","FIXEDGOFM","0","0","1","11","11","209","28","44","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1979","2","FIXEDGOFM","0","0","1","11","11","493","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1980","2","FIXEDGOFM","0","0","1","11","11","175","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
